"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\fresco\Desktop\AnasRepo\apps\authentication\__init__.py", "Python", 0, 0, 2, 2
"c:\Users\fresco\Desktop\AnasRepo\apps\authentication\admin.py", "Python", 1, 5, 3, 9
"c:\Users\fresco\Desktop\AnasRepo\apps\authentication\config.py", "Python", 4, 4, 4, 12
"c:\Users\fresco\Desktop\AnasRepo\apps\authentication\forms.py", "Python", 50, 0, 8, 58
"c:\Users\fresco\Desktop\AnasRepo\apps\authentication\migrations\__init__.py", "Python", 0, 4, 1, 5
"c:\Users\fresco\Desktop\AnasRepo\apps\authentication\models.py", "Python", 1, 5, 3, 9
"c:\Users\fresco\Desktop\AnasRepo\apps\authentication\tests.py", "Python", 1, 5, 3, 9
"c:\Users\fresco\Desktop\AnasRepo\apps\authentication\urls.py", "Python", 8, 4, 3, 15
"c:\Users\fresco\Desktop\AnasRepo\apps\authentication\views.py", "Python", 36, 6, 15, 57
"Total", "-", 101, 33, 42, 176